System Name,Other Names,Bayer,Flamsteed,Variable Star Flag,Variable Type,Variable Star Designation,Constellation,Obsolete Designation,Henry Draper,Redundant HD Designation,Yale Catalogue of Bright Stars (HR),Hipparcos,Smithsonian,Other Designations,Gaia,Notes,Object Type (SIMBAD),Glat,Glon,Parallax,Spectral Type (SIMBAD),Number of Stars,Star Name 1,Star Name 2,Star Name 3,Star Name 4,System Age (Gyr),System Metallicity (dex),System Metallicity (Z),Known Exoplanets,Spectral Type 1,Spectral Type 2,Spectral Type 3,Spectral Type 4,Mass 1 (Msol),Radius 1 (Rsol),Temperature 1 (K),Mass 2 (Msol),Radius 2 (Rsol),Temperature 2 (K),Mass 3 (Msol),Radius 3 (Rsol),Temperature 3 (K),Mass 4 (Msol),Radius 4 (Rsol),Temperature 4 (K),,
Psi Andromedae,,Psi,{{n}},,,,Andromedae,,HD 223047 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,** ,111.3428169,-14.97451392,1.6352,G3Ib-II ,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Omega Andromedae,,Omega,{{n}},,,,Andromedae,,HD 8799 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,** ,129.5664655,-16.99798144,34.7332,F4IV ,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Honores,,,7,,,,Andromedae,,HD 219080,,HR 8830,HIP 114570 ,SAO 52787,,Gaia DR2 1990723839987250176 ,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Honores, , , ,{{sys age}},{{dex}},{{Z}},{{exoplanets}},F1V, , , ,{{mass1}},{{radius1}},{{temp1}}, , , ,, , , , , , ,
Nembus,,,51,,,,Andromedae,,HD 9927,,HR 464 ,HIP 7607 ,SAO 37375 ,,Gaia DR3 399402894487590144,{{{ Upsilon Persei ??? }}},{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Nembus, , , ,{{sys age}},{{dex}},{{Z}},{{exoplanets}},K3-IIICN0.5, , , ,{{mass1}},{{radius1}},{{temp1}}, , ,, , , , , , , ,
Veritate,,,14,,,,Andromedae,,HD 221345,,HR 8930,HIP 116076,SAO 73311,,Gaia DR3 1920113512486282240,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Veritate, , , ,{{sys age}},{{dex}},{{Z}},Y,{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}}, , ,, , , , , ,,,
b Andromedae,,b,{{n}},,,,Andromedae,,HD 13520 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,138.0426815,-16.22729671,5.2634,K4-III: ,,,,,,,,,,,,,,,,,,,,,,,,,,,
c Andromedae,,c,{{n}},,,,Andromedae,,HD 14212 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,137.9895212,-12.9072523,11.9531,A0V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Andromedae,,,2,,,,Andromedae,,HD 217782 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,** ,102.5170448,-15.75864716,7.74,A1V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Andromedae,,,3,,,,Andromedae,,HD 218031 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,105.867735,-9.232387644,17.2629,K0IIIb ,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Andromedae,,,4,,,,Andromedae,,HD 218452 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,104.9022829,-12.81949299,9.155,K4III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
