System Name,Other Names,Bayer,Flamsteed,Variable Star Flag,Variable Type,Variable Star Designation,Constellation,Obsolete Designation,Henry Draper,Redundant HD Designation,Yale Catalogue of Bright Stars (HR),Hipparcos,Smithsonian,Other Designations,Gaia,Notes,Object Type (SIMBAD),Glat,Glon,Parallax,Spectral Type (SIMBAD),Number of Stars,Star Name 1,Star Name 2,Star Name 3,Star Name 4,System Age (Gyr),System Metallicity (dex),System Metallicity (Z),Known Exoplanets,Spectral Type 1,Spectral Type 2,Spectral Type 3,Spectral Type 4,Mass 1 (Msol),Radius 1 (Rsol),Temperature 1 (K),Mass 2 (Msol),Radius 2 (Rsol),Temperature 2 (K),Mass 3 (Msol),Radius 3 (Rsol),Temperature 3 (K),Mass 4 (Msol),Radius 4 (Rsol),Temperature 4 (K),,
pi. Cas,,Pi,{{Flamsteed}},,,,Cas,,HD 4058 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,121.5202852,-15.82535532,18.6293,A5V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
psi Cas,,Psi,{{Flamsteed}},,,,Cas,,HD 8491 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,126.148597,5.473971189,16.2403,K0III-IIIbCN0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
rho Cas,,Rho,{{Flamsteed}},,,,Cas,,HD 224014 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,115.3006784,-4.52457262,0.947,G2_0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
sig Cas,,Sigma,{{Flamsteed}},,,,Cas,,HD 224572 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,** ,115.5545016,-6.36402298,0.72,B1V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau Cas,,Tau,{{Flamsteed}},,,,Cas,,HD 223165 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,114.6266107,-3.177747892,18.7789,K1-IIIa ,,,,,,,,,,,,,,,,,,,,,,,,,,,
tet Cas,,Theta,{{Flamsteed}},,,,Cas,,HD 6961 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,125.7638582,-7.6136824,23.8844,A7V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
ups01 Cas,,Upsilon-1,{{Flamsteed}},,,,Cas,,HD 5234 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,123.3923264,-3.895861731,9.062,K2III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
ups02 Cas,,Upsilon-2,{{Flamsteed}},,,,Cas,,HD 5395 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Pe*,123.602774,-3.683881711,16.6465,G8.5IIIbFe-0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
zet Cas,,Zeta,{{Flamsteed}},,,,Cas,,HD 3360 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,bC?,120.7757331,-8.914261165,6.6657,B2IV ,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA Cas,,,,Y,,AA,Cas,,HD 7861 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,126.8285556,-6.330663893,2.057,M6III: ,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO Cas,,,,Y,,AO,Cas,,HD 1337 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,117.5879738,-11.08843916,0.7546,O9.2II+O8V((f)) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR Cas,,,,Y,,AR,Cas,,HD 221253 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,112.4657416,-2.658839821,4.8857,B3V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC Cas,,,,Y,,CC,Cas,,HD 19820 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,140.1165324,1.538206588,0.8492,O8.5III(n)((f)) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL Cas,,,,Y,,DL,Cas,,HD 236429 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,cC*,120.2667518,-2.54867949,0.5528,G1Ib-IIHdel-1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
DO Cas,,,,Y,,DO,Cas,,HD 16506 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,136.0491481,0.512865351,4.9712,A2II ,,,,,,,,,,,,,,,,,,,,,,,,,,,
FM Cas,,,,Y,,FM,Cas,,HD 236349 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,cC*,117.7825995,-6.248765795,0.4463,F7.5Ib ,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS Cas,,,,Y,,KS,Cas,,HD 5460 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Mi*,123.8898246,-14.15815486,1.7007,M6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ Cas,,,,Y,,NQ,Cas,,HD 1994 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,C* ,118.9770559,-8.371418315,0.6799,C-J4.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV Cas,,,,Y,,PV,Cas,,HD 240208 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,110.2667735,-1.153790833,1.4606,B6V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
R Cas,,,,Y,,R,Cas,,HD 224490 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Mi*,114.5608373,-10.61906681,5.7423,M6.5-9e ,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV Cas,,,,Y,,RV,Cas,,HD 5016 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,S* ,123.155666,-15.4555709,0.8032,M5-6.5Se ,,,,,,,,,,,,,,,,,,,,,,,,,,,
RZ Cas,,,,Y,,RZ,Cas,,HD 17138 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,132.8854906,9.065785564,15.3143,A3V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Cas,,,,Y,,S,Cas,,HD 7769 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,S* ,125.07015,9.857034668,1.0515,S3-54-8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS Cas,,,,Y,,SS,Cas,,HD 499 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Mi*,116.3372801,-10.76844094,1.3213,M5-7e ,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST Cas,,,,Y,,ST,Cas,,HD 1306 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,C* ,117.4024743,-12.22005472,0.5874,C-N5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU Cas,,,,Y,,SU,Cas,,HD 17463 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,cC*,133.4674892,8.51946611,2.1655,F5.5III+ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
SV Cas,,,,Y,,SV,Cas,,HD 222293 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Mi*,111.8287311,-9.041247743,1.1783,M5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
T Cas,,,,Y,,T,Cas,,HD 1845 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Mi*,118.946739,-6.860825317,3.6377,M7-9e ,,,,,,,,,,,,,,,,,,,,,,,,,,,
TU Cas,,,,Y,,TU,Cas,,HD 2207 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,cC*,118.9304724,-11.39616479,0.9912,F4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Cas,,,,Y,,TV,Cas,,HD 1486 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,118.8145435,-3.47564254,4.172,B9V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW Cas,,,,Y,,TW,Cas,,HD 16907 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,134.3398006,5.422698305,3.4823,A0V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
U Cas,,,,Y,,U,Cas,,HD 4350 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,S* ,122.0576139,-14.61871372,0.9022,S4.5-6/3-5e ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Cas,,,,Y,,V,Cas,,HD 218997 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Mi*,110.6475932,-0.771388839,2.5113,M5-7.5e ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V1006 Cas,,,,Y,,V1006,Cas,,HD 277 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,gD*,116.3691198,-8.785991571,7.3458,F0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V1010 Cas,,,,Y,,V1010,Cas,,HD 5513 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,123.7441912,-2.757315865,2.2932,B9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V1012 Cas,,,,Y,,V1012,Cas,,HD 7169 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,gD*,126.3251336,-11.1279483,10.5307,F2V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V1022 Cas,,,,Y,,V1022,Cas,,HD 224355 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,115.2854189,-6.357854865,15.7172,F6V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V1026 Cas,,,,Y,,V1026,Cas,,HD 205 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,dS*,118.214136,2.270522016,3.2482,A5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V1132 Cas,,,,Y,,V1132,Cas,,HD 9365 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,gD*,128.1021585,-1.823108761,8.2873,F1V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V365 Cas,,,,Y,,V365,Cas,,HD 5840 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,S* ,124.2392035,-6.235219656,1.1069,S6/3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V368 Cas,,,,Y,,V368,Cas,,HD 19644 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,EB*,139.77091,1.745774016,1.1245,B8II-III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V373 Cas,,,,Y,,V373,Cas,,HD 224151 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,115.4370246,-4.64425203,0.5019,B0.5II+B3.5/4III/V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V391 Cas,,,,Y,,V391,Cas,,HD 11570 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,128.4315406,8.03015184,1.0087,K5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V393 Cas,,,,Y,,V393,Cas,,HD 12160 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Mi*,128.6327273,9.218743788,2.7156,M0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V396 Cas,,,,Y,,V396,Cas,,HD 240229 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,109.7792987,-3.614323424,1.8301,A0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V403 Cas,,,,Y,,V403,Cas,,HD 236185 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,cC*,112.3636328,-6.503011851,0.469,G5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V436 Cas,,,,Y,,V436,Cas,,HD 221568 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,a2*,112.6160388,-3.382381007,4.2203,A0p ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V446 Cas,,,,Y,,V446,Cas,,HD 3223 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,121.1858434,-0.133680724,1.2618,M4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V451 Cas,,,,Y,,V451,Cas,,HD 4949 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,123.0451948,-3.146040525,1.2678,M3/5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V466 Cas,,,,Y,,V466,Cas,,HD 236697 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,s*r,126.6730556,-4.356357658,0.3102,M0.5Ib ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V486 Cas,,,,Y,,V486,Cas,,HD 3950 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,121.56422,-10.5112126,0.6592,B1III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V509 Cas,,,,Y,,V509,Cas,,HD 217476 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,108.1589549,-2.697964584,0.2507,G4_0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V526 Cas,,,,Y,,V526,Cas,,HD 4818 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,dS*,122.855534,-11.36364176,14.6627,F5III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V535 Cas,,,,Y,,V535,Cas,,HD 1519 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,118.0131539,-10.2024489,0.8922,Ma ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V538 Cas,,,,Y,,V538,Cas,,HD 7681 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,126.0874405,-0.990270935,2.0302,Me ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V551 Cas,,,,Y,,V551,Cas,,HD 5797 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,a2*,124.0572519,-2.407117463,1.7672,B8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V558 Cas,,,,Y,,V558,Cas,,HD 12762 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,EB*,130.7225532,3.76781893,1.0617,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V567 Cas,,,,Y,,V567,Cas,,HD 225289 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,a2*,117.399834,-1.059097346,4.7337,B6III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V595 Cas,,,,Y,,V595,Cas,,HD 236835 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,s*r,130.0431561,-5.644746227,0.5335,M2Ib: ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V605 Cas,,,,Y,,V605,Cas,,HD 14242 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,s*r,133.9501094,-1.284261118,0.3308,M2Iab ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V629 Cas,,,,Y,,V629,Cas,,HD 221936 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,a2*,111.4913804,-8.555819903,2.2573,A0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V636 Cas,,,,Y,,V636,Cas,,HD 9250 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,cC*,127.5027289,1.089020849,1.3449,G0Ib ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V648 Cas,,,,Y,,V648,Cas,,HD 237010 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,s*r,138.3201704,-1.397090781,0.4749,M2Ia ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V649 Cas,,,,Y,,V649,Cas,,HD 219634 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,112.0188215,1.120631133,0.6389,OB ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V663 Cas,,,,Y,,V663,Cas,,HD 16439 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,dS*,131.5484777,10.58939094,3.2364,A0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V739 Cas,,,,Y,,V739,Cas,,HD 225179 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,117.9998302,2.733936402,2.9917,K5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V740 Cas,,,,Y,,V740,Cas,,HD 404 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,118.699892,3.934622104,27.4981,G5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V741 Cas,,,,Y,,V741,Cas,,HD 553 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,118.531151,2.128127134,5.4902,K0II+G2IV-V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V744 Cas,,,,Y,,V744,Cas,,HD 1744 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,EB*,118.495588,-9.136638357,1.4023,B9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V747 Cas,,,,Y,,V747,Cas,,HD 2486 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,** ,119.084485,-14.28997442,1.3054,M5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V749 Cas,,,,Y,,V749,Cas,,HD 236464 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP?,120.6055059,-4.57677729,1.2984,K7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V752 Cas,,,,Y,,V752,Cas,,HD 3332 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,120.4505469,-13.84880961,1.9763,M5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V754 Cas,,,,Y,,V754,Cas,,HD 232254 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,121.5316773,-8.886950878,0.7697,K7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V755 Cas,,,,Y,,V755,Cas,,HD 3940 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,EB*,121.9987652,1.435122152,0.3034,A1Ia ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V758 Cas,,,,Y,,V758,Cas,,HD 5440 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP?,123.7052751,-6.6234171, ~ ,K2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V759 Cas,,,,Y,,V759,Cas,,HD 6112 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,AB*,124.7154849,-9.690711009,2.1507,M0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V763 Cas,,,,Y,,V763,Cas,,HD 7405 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,AB*,124.5869849,12.41043105,2.0905,M2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V772 Cas,,,,Y,,V772,Cas,,HD 10260 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,a2*,129.0218596,-1.23367087,2.8094,B8IIIp(Si) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V774 Cas,,,,Y,,V774,Cas,,HD 236871 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,s*r,129.7511242,-1.761701759,0.368,M3Iab-Ib ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V778 Cas,,,,Y,,V778,Cas,,HD 236915 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,s*r,131.4142151,-2.494030144,0.4633,M2Iab ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V784 Cas,,,,Y,,V784,Cas,,HD 13122 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,dS*,132.6665549,-1.390631016,10.1865,kF0hF2mF2(III) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V789 Cas,,,,Y,,V789,Cas,,HD 15417 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,128.8682922,15.04943819,3.3857,M0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V792 Cas,,,,Y,,V792,Cas,,HD 17114 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,EB*,137.2610127,-0.321204161,0.4025,B1V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V793 Cas,,,,Y,,V793,Cas,,HD 17179 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,EB*,131.4894095,12.04672133,1.1127,B8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V794 Cas,,,,Y,,V794,Cas,,HD 17454 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,EB*,136.2987524,2.637289995,1.701,B9III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V798 Cas,,,,Y,,V798,Cas,,HD 18473 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,a2*,138.6186289,0.796460168,4.0343,B9pSi ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V799 Cas,,,,Y,,V799,Cas,,HD 18915 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,EB*,138.1444798,2.807286838,1.5144,B9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V800 Cas,,,,Y,,V800,Cas,,HD 18787 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,131.1073763,15.14049445,0.6268,M0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V805 Cas,,,,Y,,V805,Cas,,HD 21179 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,134.6987715,12.72363622,3.2525,M2III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V809 Cas,,,,Y,,V809,Cas,,HD 219978 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,s*r,112.6130908,1.726659453,0.9988,K4.5Ib ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V812 Cas,,,,Y,,V812,Cas,,HD 220147 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,a2*,112.6533823,1.363130375,2.2301,B9p ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V814 Cas,,,,Y,,V814,Cas,,HD 221187 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,110.2398518,-9.156452285,1.1217,M1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V815 Cas,,,,Y,,V815,Cas,,HD 236180 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP?,111.1239515,-10.01912676,1.0822,M2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V816 Cas,,,,Y,,V816,Cas,,HD 222670 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,115.5844374,2.633752338,2.8897,M2III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V821 Cas,,,,Y,,V821,Cas,,HD 224557 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,115.0992832,-8.397455424,3.4262,A1V+A4V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V822 Cas,,,,Y,,V822,Cas,,HD 224980 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,116.9529093,-1.596825962,2.5792,M0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V966 Cas,,,,Y,,V966,Cas,,HD 5996 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,BY*,123.9589716,6.378283367,37.8396,G5V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V990 Cas,,,,Y,,V990,Cas,,HD 13725 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,131.0422605,5.764446883,2.265,K4II ,,,,,,,,,,,,,,,,,,,,,,,,,,,
VY Cas,,,,Y,,VY,Cas,,HD 4842 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,AB*,122.931407,0.049050417,2.0877,M6/7III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
W Cas,,,,Y,,W,Cas,,HD 5235 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,C* ,123.3842739,-4.30505651,0.71,C9,,,,,,,,,,,,,,,,,,,,,,,,,,,
WZ Cas,,,,Y,,WZ,Cas,,HD 224855 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,C* ,116.7617868,-1.914005674,2.1227,C-N7III: ,,,,,,,,,,,,,,,,,,,,,,,,,,,
XY Cas,,,,Y,,XY,Cas,,HD 236542 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,cC*,122.7386795,-2.743782649,0.4069,G0Ib ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y Cas,,,,Y,,Y,Cas,,HD 225082 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Mi*,116.1444985,-6.555722734,1.7048,M7.5e: ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z Cas,,,,Y,,Z,Cas,,HD 222914 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Mi*,113.7743957,-5.096007012,0.9489,M7-e ,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Cen,,,3,,,,Cen,,HD 120709 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,** ,317.2822153,28.18929261,9.49,B5III+B9IV ,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Cen B,,,3,,,,Cen,,HD 120710 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,317.2843295,28.18817175,10.2148,B9IV ,,,,,,,,,,,,,,,,,,,,,,,,,,,
46 Cen,,,46,,,,Cen,,HD 96616 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,a2*,283.2780802,16.22314258,11.255,ApSrCrEu ,,,,,,,,,,,,,,,,,,,,,,,,,,,
89 Cen,,,89,,,,Cen,,HD 104747 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,** ,292.8644086,22.92579272,21.75,F7V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Cen,,A,{{Flamsteed}},,,,Cen,,HD 100673 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Be*,291.7926644,6.940936093,8.1091,B9V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Cen,,a,{{Flamsteed}},,,,Cen,,HD 125823 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,321.5656476,20.02261283,8.3287,B2V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
alf Cen A,,Alpha,{{Flamsteed}},,,,Cen,,HD 128620 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,315.7341713,-0.67965625,742.12,G2V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
alf Cen B,,Alpha,{{Flamsteed}},,,,Cen,,HD 128621 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,315.7300838,-0.68171325,742.12,K1V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
B Cen,,B,{{Flamsteed}},,,,Cen,,HD 102964 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,291.9144681,16.40456344,7.9199,K3III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
b Cen,,b,{{Flamsteed}},,,,Cen,,HD 129116 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,** ,325.9018205,20.099427,10.0339,B2.5V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
bet Cen,,Beta,{{Flamsteed}},,,,Cen,,HD 122451 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,bC*,311.7669621,1.25110442,8.32,B1III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01 Cen,,C-1,{{Flamsteed}},,,,Cen,,HD 100733 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,289.7870756,13.5445538,5.4536,M3/4III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
