designation,l,b,parallax,phot_g_mean_mag,bp_rp,bp_g,g_rp,teff_gspphot,mh_gspphot,logg_gspphot,SIMBAD_ID,Spectral_Type,Object_Type,distance,adjusted_mag,X,Y,Z,Sector_Reference,label_name
Gaia DR3 1959362882144663296,89.80567865080421,-11.331266685421264,12.984390104296857,15.555865,2.795148,1.5801554,1.2149925,,,,,,,77.01555421298342,5.348753731651538,0.25610995162109496,75.51390064335105,-15.132111817316618,C1-S8-D2,
Gaia DR3 5698232278109259392,243.0494388366713,2.1263654325729737,12.981508869505266,20.499483,1.8125134,0.41654778,1.3959656,,,,,,,77.03264774937604,10.291261929802701,-34.888812660399914,-68.61946040692014,2.8581854191228726,R4-T7-U1,
Gaia DR3 1463222004002277120,66.35717091885485,82.72706303104304,12.984293285686407,15.710727,3.0245514,1.7583189,1.2662325,,,,,,,77.01612848674463,5.503577899013141,3.910056665463265,8.931561576407072,76.39648363482755,C1-S1-U8,
Gaia DR3 1520934609136304256,127.00060784636,78.04775816769236,12.98862344160352,12.376386,1.7515793,0.8489876,0.9025917,,,,UCAC4 646-050724,K7,Em*,76.99045279863347,2.170904031060978,-9.59573718526904,12.733692269480981,75.32134313191723,R1-S2-U8,UCAC4 646-050724
Gaia DR3 5746710501687764224,238.14834441899677,16.453508306688065,12.987070369281245,17.087748,3.3423395,2.013567,1.3287725,,,,Gaia DR3 5746710501687764224,,*,76.99965978203473,6.881668021678822,-38.97041625954382,-62.72650429540634,21.8091705937055,R4-T7-U3,Gaia DR3 5746710501687764224
Gaia DR3 4041494857625714304,354.9414535786422,-3.5304510047325706,12.986544718060896,19.631037,,,,,,,,,,77.0027764667272,9.424754827327812,76.55729411310705,-6.776729573789923,-4.741754732976201,C8-T1-D1,
Gaia DR3 5977837844532202368,349.2013709583972,4.528870692044323,12.98612266132798,20.213474,2.1679535,0.6205845,1.547369,,,,,,,77.00527910289571,10.00702984224469,75.40547114247904,-14.382492992856744,6.080446267014813,C8-T2-U1,
Gaia DR3 5978526757379174912,351.67481682910295,5.188576828936731,12.985156001513927,20.180344,,,,,,,,,,77.01101164155524,9.973526993095648,75.88725711228791,-11.104820265542612,6.964415905103602,C8-T2-U1,
Gaia DR3 6027038515989984128,348.7959910943905,7.999304565529666,12.98371212736102,20.491709,,,,,,,,,,77.01957577237606,10.284336118700462,74.81656665072403,-14.819519241924246,10.718127457386517,C8-T2-U2,
Gaia DR3 4116868406979047296,4.874327620631859,3.448776746529984,12.988406171999381,19.594522,2.2998772,0.8802643,1.4196129,,,,,,,76.99174069223493,9.388957179349973,76.57436816937273,6.530177762273273,4.631528114436038,C8-S1-U1,
Gaia DR3 4337186519580240384,6.9484576495621235,22.117479835600903,12.98148156895028,16.832563,3.1659327,1.8714409,1.2944918,,,,Gaia DR3 4337186519580240384,,PM*,77.03280975199682,6.624331706369514,70.8401154595115,8.633392237744522,29.003385292749368,C8-S1-U3,Gaia DR3 4337186519580240384
Gaia DR3 4043831796566739584,359.4409870150166,-4.5282357112514635,12.983413919756126,19.204052,1.5942154,-0.1608181,1.7550335,,,,,,,77.02134478500733,8.996564494207917,76.77727190037139,-0.749110217516485,-6.080863911438127,C8-T1-D1,
Gaia DR3 4318787223322076672,52.61291635143995,-3.010517053081562,12.98561514662893,19.683,1.5060787,-0.3146801,1.8207588,,,,,,,77.00828868777928,9.476360722764525,46.694649804618884,61.102609485549685,-4.0444184131682155,C5-S7-D1,
Gaia DR3 4507853882690144128,47.02121741433441,6.7003101262508356,12.982999872562793,15.523375,2.7497292,1.5397339,1.2099953,,,,,,,77.02380111035185,5.315727625366753,52.15060488354928,55.96621387697633,8.986837710980911,C6-S6-U1,
Gaia DR3 4514217959068318464,49.978591079225886,5.486932567532359,12.986218994300508,20.464306,1.6957626,0.31513977,1.3806229,,,,,,,77.00470787061944,10.257898536848204,49.29281253639856,58.70032825204028,7.363092393392144,C5-S6-U1,
Gaia DR3 1829660710970645504,60.675903472584935,-6.246763169692468,12.986632186192644,19.8353,2.0706043,0.65667915,1.4139252,,,,,,,77.00225783426727,9.629052190793177,37.48787754071081,66.73683108387627,-8.378670893990916,C4-S7-D1,
Gaia DR3 2020926599796835584,61.2632633239488,0.30677426284396747,12.982623238324107,20.893034,2.4973068,0.85801697,1.6392899,,,,,,,77.02603562029329,10.685241998087454,37.03249361891906,67.53839275345807,0.41241244289160306,C4-S7-U1,
Gaia DR3 5849014011369558016,314.47402264005007,-5.158675914660437,12.981258191113787,20.928999,,,,,,,,,,77.0341353109009,10.720681215392359,53.750421069238214,-54.746454349565866,-6.926469095338594,C6-T6-D1,
Gaia DR3 4613564499683977216,299.3945760765241,-30.217771456335534,12.983967983914148,12.723197,2.0767527,1.0553617,1.0213909,3823.6072,0.0,4.5707,Gaia DR3 4613564499683977216,,*,77.01805805735974,2.515922875389803,32.665504398037804,-57.98476505110125,-38.762264011757544,C4-T6-D4,Gaia DR3 4613564499683977216
Gaia DR3 467197097826749440,136.99322928541318,4.9635868307982465,12.989466740286112,19.751095,1.9953499,0.77586174,1.2194881,,,,,,,76.98545444506627,9.54593777959357,-56.08627064349545,52.31368607002584,6.660982749169932,R6-S6-U1,
Gaia DR3 856609309970189440,145.9471156462756,55.21908496753591,12.988691818791091,11.347663,1.4878922,0.68528175,0.8026104,4250.585,-0.3037,4.4995,LSPM J1113+5719,,SB*,76.99004749294868,1.1422075898833306,-36.387157721676,24.592343959368733,63.23494907476772,R4-S3-U7,LSPM J1113+5719
Gaia DR3 3891782777301082368,277.5534832985446,62.58132030864256,12.988519718099658,17.943558,3.9594345,2.5506554,1.4087791,,,,LSPM J1205+0158,,PM*,76.99106762770572,7.738036152779982,4.6604269463409675,-35.14591064560406,68.34229934691244,C1-T4-U7,LSPM J1205+0158
